id,qr_code_id,message_used,message_index,scanned_at
d4e031ad-bdbd-49e1-ad81-f9ea984f900f,55c2d756-2265-4ed2-aa65-a5c017f3d28a,Outstanding borewell service in Vizag with professional and timely execution.,0,2026-02-20 06:48:33.029115+00
6f616409-46f4-46ce-9ef2-ab15684076a2,7be07e03-21bf-4222-a739-384727f5bf59,"I joined this academy with the goal of preparing for defence entrance exams along with my intermediate studies. From the first week itself, I noticed how disciplined and structured the environment was. The faculty members focus not just on academics but also on personality development and confidence building.",0,2026-02-20 06:50:27.797826+00
372d0303-1740-41b5-b755-dbd37f33ccd7,55c2d756-2265-4ed2-aa65-a5c017f3d28a,Outstanding borewell service in Vizag with professional and timely execution.,0,2026-02-20 06:53:45.36625+00
1a6f7efe-dceb-4ab2-b0a9-2cde24f9df09,7be07e03-21bf-4222-a739-384727f5bf59,"I joined this academy with the goal of preparing for defence entrance exams along with my intermediate studies. From the first week itself, I noticed how disciplined and structured the environment was. The faculty members focus not just on academics but also on personality development and confidence building.",0,2026-02-20 06:54:49.471644+00
2163a144-8588-447d-b9ad-7771ea8f912f,55c2d756-2265-4ed2-aa65-a5c017f3d28a,Outstanding borewell service in Vizag with professional and timely execution.,0,2026-02-20 07:32:19.871095+00
6a767667-f0ed-4f7c-9d16-faa86e04e777,7be07e03-21bf-4222-a739-384727f5bf59,"I joined this academy with the goal of preparing for defence entrance exams along with my intermediate studies. From the first week itself, I noticed how disciplined and structured the environment was. The faculty members focus not just on academics but also on personality development and confidence building.",0,2026-02-20 07:33:24.81617+00
ef5ea091-e50e-43ec-930c-934ee904fffd,7be07e03-21bf-4222-a739-384727f5bf59,"I joined this academy with the goal of preparing for defence entrance exams along with my intermediate studies. From the first week itself, I noticed how disciplined and structured the environment was. The faculty members focus not just on academics but also on personality development and confidence building.",0,2026-02-20 07:41:47.217243+00
a133e5f4-dcd8-4c56-9fa1-cd18ca35ef2f,55c2d756-2265-4ed2-aa65-a5c017f3d28a,Outstanding borewell service in Vizag with professional and timely execution.,0,2026-02-20 07:41:49.138871+00
9755d9c3-517f-4af8-9c6d-cbf92f70ddc8,7be07e03-21bf-4222-a739-384727f5bf59,"I joined this academy with the goal of preparing for defence entrance exams along with my intermediate studies. From the first week itself, I noticed how disciplined and structured the environment was. The faculty members focus not just on academics but also on personality development and confidence building.",0,2026-02-20 07:42:29.29569+00
82e13b64-e1bb-4f0e-a109-693776a986af,55c2d756-2265-4ed2-aa65-a5c017f3d28a,Outstanding borewell service in Vizag with professional and timely execution.,0,2026-02-20 07:42:53.748614+00
84fb6697-4176-44d1-b426-dfd4c8fc39fa,55c2d756-2265-4ed2-aa65-a5c017f3d28a,Outstanding borewell service in Vizag with professional and timely execution.,0,2026-02-20 07:45:37.367767+00
979712fe-ec21-4e4b-932b-4f9bc5157542,7be07e03-21bf-4222-a739-384727f5bf59,"I joined this academy with the goal of preparing for defence entrance exams along with my intermediate studies. From the first week itself, I noticed how disciplined and structured the environment was. The faculty members focus not just on academics but also on personality development and confidence building.",0,2026-02-20 07:46:14.423904+00
795fffaf-7574-4784-b315-796bfa80d4d1,55c2d756-2265-4ed2-aa65-a5c017f3d28a,Outstanding borewell service in Vizag with professional and timely execution.,0,2026-02-20 07:51:21.57688+00
57947454-25a1-491f-b833-8283fdacb65b,7be07e03-21bf-4222-a739-384727f5bf59,"I joined this academy with the goal of preparing for defence entrance exams along with my intermediate studies. From the first week itself, I noticed how disciplined and structured the environment was. The faculty members focus not just on academics but also on personality development and confidence building.",0,2026-02-20 07:52:39.226435+00
3c7fe52f-4fa1-4e67-8800-20db52a8aa73,55c2d756-2265-4ed2-aa65-a5c017f3d28a,Outstanding borewell service in Vizag with professional and timely execution.,0,2026-02-20 07:56:14.383289+00
0fecf3b6-2e74-4b1d-9c04-898211fa6832,7be07e03-21bf-4222-a739-384727f5bf59,"I joined this academy with the goal of preparing for defence entrance exams along with my intermediate studies. From the first week itself, I noticed how disciplined and structured the environment was. The faculty members focus not just on academics but also on personality development and confidence building.",0,2026-02-20 07:57:09.568985+00
f1d72098-59d8-49b6-b950-69374515eb1c,55c2d756-2265-4ed2-aa65-a5c017f3d28a,Outstanding borewell service in Vizag with professional and timely execution.,0,2026-02-20 07:59:00.314453+00
e64a8293-b58f-4c72-96c4-5848c4c0d634,7be07e03-21bf-4222-a739-384727f5bf59,"I joined this academy with the goal of preparing for defence entrance exams along with my intermediate studies. From the first week itself, I noticed how disciplined and structured the environment was. The faculty members focus not just on academics but also on personality development and confidence building.",0,2026-02-20 07:59:39.38826+00
4912fa6c-dfd4-4e39-80cc-d4f1e9f94042,55c2d756-2265-4ed2-aa65-a5c017f3d28a,Outstanding borewell service in Vizag with professional and timely execution.,0,2026-02-20 08:01:24.073823+00
73389610-13a0-4fe4-9ae8-e1cdac1ba71e,7be07e03-21bf-4222-a739-384727f5bf59,"I joined this academy with the goal of preparing for defence entrance exams along with my intermediate studies. From the first week itself, I noticed how disciplined and structured the environment was. The faculty members focus not just on academics but also on personality development and confidence building.",0,2026-02-20 08:02:25.4484+00
c4944c75-5954-43d0-b783-6409cf6617a3,7be07e03-21bf-4222-a739-384727f5bf59,"I joined this academy with the goal of preparing for defence entrance exams along with my intermediate studies. From the first week itself, I noticed how disciplined and structured the environment was. The faculty members focus not just on academics but also on personality development and confidence building.",0,2026-02-20 08:06:25.434622+00
409a90e9-ad4e-4190-bafb-b54baea085e1,7be07e03-21bf-4222-a739-384727f5bf59,"I joined this academy with the goal of preparing for defence entrance exams along with my intermediate studies. From the first week itself, I noticed how disciplined and structured the environment was. The faculty members focus not just on academics but also on personality development and confidence building.",0,2026-02-20 08:07:34.637467+00
0dc23a82-045e-47e2-9986-6f50ad239408,7be07e03-21bf-4222-a739-384727f5bf59,"I joined this academy with the goal of preparing for defence entrance exams along with my intermediate studies. From the first week itself, I noticed how disciplined and structured the environment was. The faculty members focus not just on academics but also on personality development and confidence building.",0,2026-02-20 12:09:49.279053+00
617e7d72-16a7-4d2d-ac03-2d025c268824,7be07e03-21bf-4222-a739-384727f5bf59,"I joined this academy with the goal of preparing for defence entrance exams along with my intermediate studies. From the first week itself, I noticed how disciplined and structured the environment was. The faculty members focus not just on academics but also on personality development and confidence building.",0,2026-02-20 12:10:45.89012+00
b55765e8-3c07-4324-86ca-7d04f2ecc294,7be07e03-21bf-4222-a739-384727f5bf59,"I joined this academy with the goal of preparing for defence entrance exams along with my intermediate studies. From the first week itself, I noticed how disciplined and structured the environment was. The faculty members focus not just on academics but also on personality development and confidence building.",0,2026-02-20 12:11:00.191618+00
d42ac53d-5d13-4a0d-9a02-d52d4c73dc81,7be07e03-21bf-4222-a739-384727f5bf59,"I joined this academy with the goal of preparing for defence entrance exams along with my intermediate studies. From the first week itself, I noticed how disciplined and structured the environment was. The faculty members focus not just on academics but also on personality development and confidence building.",0,2026-02-20 12:11:21.959784+00
d91f41d3-6533-49a2-b7fa-54169ab5d469,55c2d756-2265-4ed2-aa65-a5c017f3d28a,Outstanding borewell service in Vizag with professional and timely execution.,0,2026-02-20 12:12:27.019552+00
3e887dde-f5ac-4baa-9bd1-b92587de3e1c,55c2d756-2265-4ed2-aa65-a5c017f3d28a,Outstanding borewell service in Vizag with professional and timely execution.,0,2026-02-20 12:12:27.354883+00
16f44e72-2b8a-4004-b22a-8c9fcdcb0be1,55c2d756-2265-4ed2-aa65-a5c017f3d28a,Outstanding borewell service in Vizag with professional and timely execution.,0,2026-02-20 12:12:34.64054+00
bafc5763-1d2b-4b4f-a88f-7879ae8dad45,7be07e03-21bf-4222-a739-384727f5bf59,"I joined this academy with the goal of preparing for defence entrance exams along with my intermediate studies. From the first week itself, I noticed how disciplined and structured the environment was. The faculty members focus not just on academics but also on personality development and confidence building.",0,2026-02-20 12:13:31.76355+00
60e62e89-7f17-452a-8887-4db70ac5975a,55c2d756-2265-4ed2-aa65-a5c017f3d28a,Outstanding borewell service in Vizag with professional and timely execution.,0,2026-02-20 12:17:27.386842+00
24207f21-6821-407a-b850-e9b0f3d11550,55c2d756-2265-4ed2-aa65-a5c017f3d28a,Outstanding borewell service in Vizag with professional and timely execution.,0,2026-02-20 12:17:38.675568+00
